"id","sprint","epic","type","title","owner","status","main_dependency","labels","draft_path"
"S1-EPIC","Sprint 1","Foundation","Epic","Foundation sprint epic","Tech Lead","Backlog","None","epic:foundation;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/00-sprint-1-epic.md"
"S2-EPIC","Sprint 2","Form Core","Epic","Form Core sprint epic","Tech Lead","Backlog","S1 foundation exit","epic:forms;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/00-sprint-2-epic.md"
"S3-EPIC","Sprint 3","Advanced Filters","Epic","Advanced Filters sprint epic","Tech Lead","Backlog","S2 form core exit","epic:forms;epic:overlay;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/00-sprint-3-epic.md"
"S4-EPIC","Sprint 4","Shell And Object Page","Epic","Shell and Object Page sprint epic","Tech Lead","Backlog","S3 advanced filters exit","epic:shell;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/00-sprint-4-epic.md"
"S5-EPIC","Sprint 5","MicroChart","Epic","MicroChart sprint epic","Tech Lead","Backlog","S4 shell exit","epic:charts;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/00-sprint-5-epic.md"
"S1-01","Sprint 1","Foundation","Foundation Task","ThemeProvider and theme context","Foundation","Backlog","None","epic:foundation;area:theme;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/01-theme-provider-and-theme-context.md"
"S1-02","Sprint 1","Foundation","Foundation Task","Token layering and theme files","Foundation","Backlog","S1-01","epic:foundation;area:theme;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/02-token-layering-and-theme-files.md"
"S1-03","Sprint 1","Foundation","Foundation Task","Component token cleanup","Foundation","Backlog","S1-02","epic:foundation;area:theme;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/03-component-token-cleanup.md"
"S1-05","Sprint 1","Foundation","Foundation Task","Icon registry v1","Foundation","Backlog","None","epic:foundation;area:icons;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/05-icon-registry-v1.md"
"S1-06","Sprint 1","Foundation","Foundation Task","Locale provider and formatters","Foundation","Backlog","S1-01","epic:foundation;area:i18n;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/06-locale-provider-and-formatters.md"
"S1-07","Sprint 1","Foundation","Foundation Task","Overlay foundation","Foundation","Backlog","None","epic:foundation;area:overlay;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/07-overlay-foundation.md"
"S1-08","Sprint 1","Foundation","Component Task","Dialog overlay migration","Overlay","Backlog","S1-07","epic:foundation;area:overlay;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/08-dialog-overlay-migration.md"
"S2-02","Sprint 2","Form Core","Component Task","Popover","Overlay","Backlog","S1-07","epic:overlay;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/02-popover.md"
"S3-04","Sprint 3","Advanced Filters","Component Task","ResponsivePopover","Overlay","Backlog","S2 Popover | S1 overlay foundation","epic:overlay;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/04-responsive-popover.md"
"S3-05","Sprint 3","Advanced Filters","Component Task","Menu","Overlay","Backlog","S1 IconRegistry | S3-04","epic:overlay;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/05-menu.md"
"S3-06","Sprint 3","Advanced Filters","Component Task","MessagePopover","Overlay","Backlog","S3-04","epic:overlay;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/06-message-popover.md"
"S2-01","Sprint 2","Form Core","Foundation Task","Shared field primitives","Form","Backlog","S1 foundation exit","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/01-shared-field-primitives.md"
"S2-03","Sprint 2","Form Core","Component Task","Select","Form","Backlog","S2-01 | S2-02","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/03-select.md"
"S2-04","Sprint 2","Form Core","Component Task","ComboBox","Form","Backlog","S2-01 | S2-02","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/04-combo-box.md"
"S2-05","Sprint 2","Form Core","Component Task","MultiInput","Form","Backlog","S2-01 | S1-05","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/05-multi-input.md"
"S2-06","Sprint 2","Form Core","Component Task","Calendar panel primitive","Form","Backlog","S1-06 | S2-02","epic:forms;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/06-calendar-panel-primitive.md"
"S2-07","Sprint 2","Form Core","Component Task","DatePicker","Form","Backlog","S2-02 | S2-06","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/07-date-picker.md"
"S2-08","Sprint 2","Form Core","Component Task","Form integration pass","Form","Backlog","S2-03 | S2-04 | S2-05 | S2-07","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/08-form-integration-pass.md"
"S3-01","Sprint 3","Advanced Filters","Component Task","MultiComboBox","Form","Backlog","S2 ComboBox | S2 MultiInput | S2 Popover","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/01-multi-combo-box.md"
"S3-02","Sprint 3","Advanced Filters","Component Task","DateRangePicker","Form","Backlog","S2 DatePicker | S2 Calendar panel","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/02-date-range-picker.md"
"S3-03","Sprint 3","Advanced Filters","Component Task","TimePicker","Form","Backlog","S1 LocaleProvider | S2 Popover","epic:forms;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/03-time-picker.md"
"S3-07","Sprint 3","Advanced Filters","Component Task","FilterBar advanced integration","Form","Backlog","S3-01 | S3-02 | S3-03","epic:forms;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/07-filter-bar-advanced-integration.md"
"S3-09","Sprint 3","Advanced Filters","Component Task","State and help text unification","Form","Backlog","S3-01 | S3-02 | S3-03","epic:forms;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/09-state-and-help-text-unification.md"
"S4-01","Sprint 4","Shell And Object Page","Component Task","NavigationList","Shell","Backlog","S1 theme/icon foundation","epic:shell;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/01-navigation-list.md"
"S4-02","Sprint 4","Shell And Object Page","Component Task","SideNavigation","Shell","Backlog","S4-01","epic:shell;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/02-side-navigation.md"
"S4-03","Sprint 4","Shell And Object Page","Component Task","ToolPage","Shell","Backlog","S4-02 | existing ToolHeader","epic:shell;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/03-tool-page.md"
"S4-04","Sprint 4","Shell And Object Page","Component Task","FlexibleColumnLayout","Shell","Backlog","S1 theme foundation | existing SplitLayout","epic:shell;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/04-flexible-column-layout.md"
"S4-05","Sprint 4","Shell And Object Page","Component Task","Breadcrumbs","Shell","Backlog","S1 IconRegistry","epic:shell;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/05-breadcrumbs.md"
"S4-06","Sprint 4","Shell And Object Page","Component Task","Avatar","Shell","Backlog","S1 theme foundation","epic:shell;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/06-avatar.md"
"S4-07","Sprint 4","Shell And Object Page","Component Task","ObjectStatus and ObjectIdentifier","Shell","Backlog","S1 IconRegistry | S1 theme foundation","epic:shell;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/07-object-status-and-object-identifier.md"
"S4-08","Sprint 4","Shell And Object Page","Component Task","ObjectPageHeader","Shell","Backlog","S4-05 | S4-06 | S4-07","epic:shell;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/08-object-page-header.md"
"S4-09","Sprint 4","Shell And Object Page","Component Task","ObjectPageLayout","Shell","Backlog","S4-08 | existing DynamicPage/ObjectPageNav","epic:shell;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/09-object-page-layout.md"
"S5-01","Sprint 5","MicroChart","Foundation Task","Chart primitives and tokens","Chart Foundation","Backlog","S1 theme foundation","epic:charts;area:foundation;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/01-chart-primitives-and-tokens.md"
"S5-02","Sprint 5","MicroChart","Component Task","BulletMicroChart","Chart","Backlog","S5-01","epic:charts;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/02-bullet-microchart.md"
"S5-03","Sprint 5","MicroChart","Component Task","RadialMicroChart","Chart","Backlog","S5-01","epic:charts;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/03-radial-microchart.md"
"S5-04","Sprint 5","MicroChart","Component Task","Delta and HarveyBall","Chart","Backlog","S5-01","epic:charts;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/04-delta-and-harvey-ball.md"
"S5-05","Sprint 5","MicroChart","Component Task","StackedBarMicroChart","Chart","Backlog","S5-01","epic:charts;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/05-stacked-bar-microchart.md"
"S5-06","Sprint 5","MicroChart","Component Task","InteractiveDonutChart","Chart","Backlog","S5-01","epic:charts;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/06-interactive-donut-chart.md"
"S5-07","Sprint 5","MicroChart","Component Task","InteractiveLineChart","Chart","Backlog","S5-01","epic:charts;area:component;priority:p0","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/07-interactive-line-chart.md"
"S5-08","Sprint 5","MicroChart","Component Task","KPI Card composition","Chart","Backlog","S5-02 | S5-03 | S5-04 | S5-05","epic:charts;area:component;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/08-kpi-card-composition.md"
"S1-04","Sprint 1","Foundation","Docs Or QA Task","Theme Lab and docs shell","Docs","Backlog","S1-01 | S1-02 | S1-06","epic:foundation;area:docs;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/04-theme-lab-and-docs-shell.md"
"S1-10","Sprint 1","Foundation","Docs Or QA Task","Foundation exports and usage docs","Docs","Backlog","S1-01 | S1-05 | S1-06 | S1-07","epic:foundation;area:docs;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/10-foundation-exports-and-usage-docs.md"
"S2-09","Sprint 2","Form Core","Docs Or QA Task","Form Lab and worklist demo","Docs","Backlog","S2-03 | S2-04 | S2-05 | S2-07","epic:forms;area:docs;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/09-form-lab-and-worklist-demo.md"
"S3-08","Sprint 3","Advanced Filters","Docs Or QA Task","Advanced filter worklist demo","Docs","Backlog","S3-01 | S3-02 | S3-03 | S3-06 | S3-07","epic:forms;area:docs;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/08-advanced-filter-worklist-demo.md"
"S4-10","Sprint 4","Shell And Object Page","Docs Or QA Task","Shell Lab and Object Page demo","Docs","Backlog","S4-01 | S4-02 | S4-03 | S4-04 | S4-08 | S4-09","epic:shell;area:docs;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/10-shell-lab-and-object-page-demo.md"
"S5-09","Sprint 5","MicroChart","Docs Or QA Task","Chart Lab and business demos","Docs","Backlog","S5-02 | S5-03 | S5-04 | S5-05 | S5-06 | S5-07 | S5-08","epic:charts;area:docs;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/09-chart-lab-and-business-demos.md"
"S1-09","Sprint 1","Foundation","Docs Or QA Task","Foundation smoke tests","QA","Backlog","S1-01 | S1-05 | S1-06 | S1-08","epic:foundation;area:test;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-1/09-foundation-smoke-tests.md"
"S2-10","Sprint 2","Form Core","Docs Or QA Task","A11y and smoke tests","QA","Backlog","S2-02 | S2-03 | S2-04 | S2-05 | S2-07","epic:forms;area:test;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-2/10-a11y-and-smoke-tests.md"
"S3-10","Sprint 3","Advanced Filters","Docs Or QA Task","A11y and regression tests","QA","Backlog","S3-01 | S3-02 | S3-03 | S3-04 | S3-05 | S3-06","epic:forms;epic:overlay;area:test;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-3/10-a11y-and-regression-tests.md"
"S4-11","Sprint 4","Shell And Object Page","Docs Or QA Task","A11y and regression tests","QA","Backlog","S4-01 | S4-02 | S4-03 | S4-04 | S4-08 | S4-09","epic:shell;area:test;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-4/11-a11y-and-regression-tests.md"
"S5-10","Sprint 5","MicroChart","Docs Or QA Task","A11y, performance, and regression tests","QA","Backlog","S5-02 | S5-03 | S5-04 | S5-05 | S5-06 | S5-07 | S5-08","epic:charts;area:test;priority:p1","/E:/projects/axiomui/docs/roadmap/backlog/sprint-5/10-a11y-performance-and-regression-tests.md"
